序号,园区,所属区域,城市,所属业态,项目分级,项目分类,拟定承建组织,总部重点关注项目,专业,专业分包,项目名称,备注说明,拟定金额,专业细分
235,甬园,华东,宁波,护理,三级,品质提升,不动产项目部,否,其它系统,土建,记忆照护区友好环境改造,提升记忆照护区友好环境,18,土建
236,甬园,华东,宁波,独立,一级（最高级）,安全,不动产项目部,是,其它系统,弱电,厨房离人动火报警系统,厨房离人动火报警系统,18,弱电
237,甬园,华东,宁波,独立,一级（最高级）,节能改造,不动产项目部,是,其它系统,弱电,能源管控平台,线上抄表系统,15,弱电
238,甬园,华东,宁波,独立,一级（最高级）,节能改造,不动产项目部,否,其它系统,土建,停车场感应节能灯改造,停车场感应节能灯改造,18,土建
239,甬园,华东,宁波,独立,一级（最高级）,节能改造,不动产项目部,是,其它系统,弱电,厨房节能炉灶改造,厨房节能炉灶改造,15,弱电
240,甬园,华东,宁波,独立,一级（最高级）,节能改造,不动产项目部,是,其它系统,机电,新增空气源热泵改造,新增空气源热泵改造,48,机电
241,甬园,华东,宁波,独立,三级,金额10万以上的常规维修,不动产项目部,否,其它系统,精装,户外塑木地板翻修,户外塑木地板翻修,15,精装
242,甬园,华东,宁波,独立,三级,金额10万以上的常规维修,不动产项目部,否,其它系统,精装,地下室墙面翻新(含后勤)、吊顶修复、地砖更换,地下室墙面翻新(含后勤)、吊顶修复、地砖更换,15,精装
243,甬园,华东,宁波,独立,三级,金额10万以上的常规维修,不动产项目部,否,其它系统,弱电,室外高空防坠落监控及围墙红外对射(含C地块西入口道闸),室外高空防坠落监控及围墙红外对射(含C地块西入口道闸),15,弱电
244,豫园,华南,郑州,独立,三级,安全,不动产项目部,否,其它系统,弱电,园区闸机改造,医院门口闸机，车库闸机，大门口闸机已使用2年的伸缩门进行改造升级，增加人脸识别摄像头，辅助园区保障居民安全，预计产生20万元改造费,20,弱电
245,豫园,华南,郑州,独立,三级,金额10万以上的常规维修,不动产项目部,否,其它系统,精装,家具翻修,目前公共区域家具已使用2年，出现家具松动，结构断裂情况，避免出现跌倒情况，预计产生10万元更换费,10,精装
246,豫园,华南,郑州,独立,三级,金额10万以上的常规维修,不动产项目部,否,其它系统,精装,公共区域通道翻修,由于独立楼和活力中心通道居民经常通过，墙面出现磕碰和污染情况，需要增加护墙板和粉刷，预计10万维修费用,10,精装
247,豫园,华南,郑州,独立,三级,金额10万以上的常规维修,不动产项目部,否,其它系统,精装,园区景观翻修,园区窨井盖升级，花坛装饰，活力中心绿肺绿植优化更换三项共计15万改造,15,精装
248,豫园,华南,郑州,独立,三级,金额10万以上的常规维修,不动产项目部,否,其它系统,土建,大门口园区道路改造,由于中门岗PC石材道路现为中巴车通勤通道，造成石材路面损坏严重，为保障后期平稳运营，计划改为5公分厚石材,30,土建
249,豫园,华南,郑州,独立,三级,品质提升,不动产项目部,否,其它系统,精装,超体银发经济展示区改造,超体改造：记忆小镇改经济展示区,30,精装
250,豫园,华南,郑州,独立,三级,品质提升,不动产项目部,否,其它系统,机电,电动门改造,目前社区及医院连廊电动门较重，开启频繁，极易损坏，需改造为开启方便耐用的型号,10,机电
251,豫园,华南,郑州,独立,三级,其他改造,不动产项目部,否,其它系统,机电,免费冷改造,新增暖通空调系统冷冻水与冷却水热交换的板式换热器，施工内容包含增加电动调节阀，管路改造，系统控制逻辑板，板式换热器等,20,机电
252,豫园,华南,郑州,独立,三级,品质提升,不动产项目部,否,其它系统,土建,护理楼品质改造,护理楼品质改造，洗手池周围一圈安全把杆，楼层气味管理：换气设备+除味设备+香薰，各楼层增加2台烘干机共14台，记忆花园加装顶棚，地下入口门改造为自动门且去除台阶，一楼大厅增设隔离门或隔离帘，护理楼外围增设护理居民活动场地，智能马桶,98,土建
253,豫园,华南,郑州,独立,一级（最高级）,节能改造,不动产项目部,否,其它系统,弱电,BA智能化群控,在原有BA系统中增加智能AI算法，使BA系统控制更精准及高效，需要增加控制逻辑及后台系统,40,弱电
254,豫园,华南,郑州,独立,一级（最高级）,安全,不动产项目部,是,其它系统,弱电,动火离人报警系统,在厨房炉灶上方增加动火离人报警系统，并将报警信号传输至中控室。同时也在本地报警，对厨师进行提醒,15,弱电
255,豫园,华南,郑州,独立,一级（最高级）,节能改造,不动产项目部,是,其它系统,弱电,厨房节能炉灶改造,吸收厨房灶台的余热回收装置，达到节能效果,10,弱电
256,豫园,华南,郑州,独立,一级（最高级）,节能改造,不动产项目部,是,其它系统,弱电,能源平台,在原有能源计量平台部署能源平台，并进行智能分析，使不合理能耗进行报警，达到高效统计和智能化控制效果,15,弱电
257,豫园,华南,郑州,护理,一级（最高级）,安全,不动产项目部,是,其它系统,弱电,人脸识别,人脸识别防走失系统,10,弱电
258,渝园,西南,重庆,独立,一级（最高级）,节能改造,不动产项目部,否,暖通/供冷系统,机电,二期空气源热水改造,二期生活热水空气源热泵改造，用于给二期生活热水加热，减少锅炉燃气消耗量。,100,机电
259,渝园,西南,重庆,护理,一级（最高级）,安全,不动产项目部,否,弱电系统,弱电,大门口人脸识别、护理电梯人脸识别系统,"在大门口加人脸识别摄像头，接入后台居民防走失监管系统；护理电梯内加装人脸识别监控，经识别认可后方能选择去向楼层按钮，防止外来'非法""人员进入护理楼层",24,弱电
260,渝园,西南,重庆,独立,一级（最高级）,节能改造,不动产项目部,是,弱电系统,弱电,能源管理系统平台改造,总部能源监管平台建设，能源预算制度系统化；实现按标准三级计量，并按照要求导出任意时间段历史数据；可分楼栋进行能源数据采集，并导出历史数据；实现社区电力结构总支不平衡率报表；能源预警功能,12,弱电
261,渝园,西南,重庆,独立,一级（最高级）,安全,不动产项目部,是,消防系统,消防,厨房动火离人报警系统,在厨房涉及用气、用电的炉灶位置设置动火离人报警系统，一旦人离开规定时间就发出报警，并断气断电，杜绝火灾事件发生,15,消防
262,渝园,西南,重庆,独立,一级（最高级）,节能改造,社区分包,否,暖通/供冷系统,机电,燃气烟道热回收节能改造,燃气烟道热回收节能改造,15,机电
263,渝园,西南,重庆,独立,一级（最高级）,节能改造,不动产项目部,是,弱电系统,弱电,AI智能改造,BA系统增加后台远程智能管理系统,40,弱电
264,渝园,西南,重庆,独立,二级,品质提升,社区分包,否,其它系统,精装,房态恢复,退住还原,20,精装
265,徽园,华东,合肥,独立,一级（最高级）,其他改造,不动产项目部,否,土建设施,土建,活力中心改造,,50,土建
266,徽园,华东,合肥,独立,一级（最高级）,金额10万以上的房态更新,不动产项目部,否,土建设施,土建,记忆照护区改造,,20,土建
267,徽园,华东,合肥,独立,一级（最高级）,智能化改造,不动产项目部,是,弱电系统,弱电,智能化改造,能管平台,80,弱电
268,徽园,华东,合肥,护理,二级,金额10万以上的房态更新,不动产项目部,否,土建设施,土建,护理楼公区及房间提升,,20,土建
269,徽园,华东,合肥,独立,二级,品质提升,不动产项目部,否,土建设施,土建,5号楼下方空腔改造,5#地下室改造,20,土建
270,徽园,华东,合肥,独立,二级,品质提升,不动产项目部,否,弱电系统,弱电,超体大会议室音响升级,对超体大会议室的音响系统进项升级优化,10,弱电
271,徽园,华东,合肥,独立,二级,品质提升,不动产项目部,否,机电系统,机电,群贤汇餐台改成称重自选,在居民餐厅新增称重自助式称食物的餐台,10,机电
272,徽园,华东,合肥,独立,一级（最高级）,安全,不动产项目部,是,弱电系统,弱电,人脸识别系统安装,在护理楼电梯及社区大门口安装人脸识别摄像头，对易走失人员进入摄像头范围后进行预警,15,弱电
273,徽园,华东,合肥,独立,二级,品质提升,社区分包,否,其它系统,精装,房态恢复,退住还原,20,精装
274,徽园,华东,合肥,独立,一级（最高级）,安全,不动产项目部,是,其它系统,弱电,动火离人报警,动火离人报警,10,弱电
275,鹏园,华南,深圳,独立,三级,品质提升,不动产项目部,否,其它系统,土建,2号楼通道加幕墙,,15,土建
276,鹏园,华南,深圳,独立,三级,金额10万以上的常规维修,社区分包,否,其它系统,土建,电动轮椅充电区改造,,10,土建
277,鹏园,华南,深圳,独立,三级,金额10万以上的常规维修,社区分包,否,消防系统,消防,消防水压监测,,12,消防
278,鹏园,华南,深圳,独立,三级,金额10万以上的常规维修,社区分包,否,暖通/供冷系统,机电,添加2个冷库,,40,机电
279,鹏园,华南,深圳,独立,三级,品质提升,不动产项目部,否,其它系统,土建,小邮局改造,,35,土建
280,鹏园,华南,深圳,独立,三级,品质提升,不动产项目部,否,其它系统,土建,2号楼顶层品质打造,,25,土建
281,鹏园,华南,深圳,独立,三级,金额10万以上的常规维修,社区分包,否,其它系统,土建,新增员工办公室,,20,土建
282,鹏园,华南,深圳,独立,三级,品质提升,不动产项目部,否,其它系统,土建,可移动餐厅,,45,土建
283,鹏园,华南,深圳,独立,三级,品质提升,不动产项目部,否,其它系统,土建,泳池西侧风雨连廊改造,,30,土建
284,鹏园,华南,深圳,独立,一级（最高级）,其他改造,不动产项目部,否,其它系统,土建,1号楼架空层改造为就餐区、南大门改造、其他架空层改造为居民功能区,,750,土建
285,鹏园,华南,深圳,独立,二级,品质提升,社区分包,否,其它系统,精装,房态恢复,退住还原,20,精装
286,鹏园,华南,深圳,护理,一级（最高级）,安全,社区分包,否,弱电系统,弱电,大门口人脸识别、护理电梯人脸识别系统,"在大门口加人脸识别摄像头，接入后台居民防走失监管系统；护理电梯内加装人脸识别监控，经识别认可后方能选择去向楼层按钮，防止外来'非法""人员进入护理楼层",20,弱电
287,鹏园,华南,深圳,独立,一级（最高级）,安全,社区分包,是,消防系统,消防,厨房动火离人报警系统,在厨房涉及用气、用电的炉灶位置设置动火离人报警系统，一旦人离开规定时间就发出报警，并断气断电，杜绝火灾事件发生,15,消防
288,琴园,华北,青岛,独立,三级,品质提升,不动产项目部,否,其它系统,精装,1.1 维修费用-居民户内维修（含临客房）,按在住360户算，维修费用500元/户，需24万，包括：门窗五金、洁具灯具更换、家具及木门破损划痕修复、天地墙局部维修；居民房内渗漏水、返销返碱、烟道串烟、木地板更换等问题维修,18,精装
289,琴园,华北,青岛,独立,三级,品质提升,,否,其它系统,精装,1.2 维修费用-退住还原房态恢复维修,预估退住40户，按2000元/户算；居民退住房态恢复（包括：大面积墙面粉刷喷漆、墙纸修补更换、沙发布艺清洗更换、家具漆面修补、木地板划痕修补更换），及新居民个性化需求改良及退住恢复;2.2号楼2层原医院病房改为临时宿舍，约22间；按照3500元/间，约须7.7万元。,15,精装
290,琴园,华北,青岛,独立,三级,品质提升,,否,土建设施,土建,1.3 维修费用-公区装饰装修维修,超体使用年限超5年，超体墙面及地砖须翻新更换超体地砖面积200㎡，墙面面积300㎡,15,土建
291,琴园,华北,青岛,独立,三级,品质提升,,否,土建设施,土建,1.3 维修费用-公区装饰装修维修,独立楼房间及公区走廊翻新维修、楼体外墙涂料维修、车库地坪漆维修、车库墙面污染、破损维修，每年维修1次、外围地砖维修，每季度维修1次物料费：综合维修日常维修采购物资，每月费用6000元,25,土建
292,琴园,华北,青岛,独立,三级,品质提升,,否,其它系统,精装,1.4 维修费用-公区机电设备维修,27部电动门的维修保养；厨房设备维修；因二期取消无线对讲基站，需更换三网模式无线对讲。物料费：灯具、线路改造、检修辅材、弱电智能化各子系统配件维修物料、机组皮带轴承等已使用3年寿命到期，需逐步更换（不包含软水盐、检测试剂等日常消耗品）,32,精装
293,琴园,华北,青岛,独立,三级,品质提升,,否,其它系统,园林,2.1 改良改造费用-品质提升类,1.湖区水质处理（5000元/套，一月一套合计6万）；2.湖区浮漂及水生植物更换(水生植物种植面积2000平；大叶荷花400平)3.鱼缸及湖区鱼苗更换补充 1.社区大门及超体动线时令花卉更换，一季度一换（约100平）2.不其园及园区景观造景补充及乔木的更新（景观造景200平；乔木补充10棵）,19,园林
294,琴园,华北,青岛,独立,三级,节能改造,,否,供排水系统,机电,2.2 改良改造费用-节能改造,地下停车场灯具节能改造 活力中心包厢（崂山厅、观山厅）加装空调,5,机电
295,琴园,华北,青岛,独立,三级,品质提升,,否,土建设施,土建,2.3 改良改造费用-安全提升,现果园未进行适老化改造，果园红砖路面雨季湿滑，跌倒风险较高；面积600㎡,15,土建
296,琴园,华北,青岛,独立,三级,金额10万以上的房态更新,,否,土建设施,土建,2.5 改良改造费用-经营功能改变型改造,2号楼3-5层功能改造（从医院病床调整为护理）,20,土建
297,琴园,华北,青岛,独立,三级,品质提升,,否,家具,固定物资采买,3.1 固定资产采购-家电家具更换,2号楼5层将作为临客房进行使用，活动家具预计3万元，固定家具11万元,14,固定物资采买
298,琴园,华北,青岛,护理,三级,品质提升,,否,其它系统,土建,高端护理改造,护理区打造高端护理楼层,45,土建
299,瓯园,华东,温州,独立,三级,其他改造,不动产项目部,否,暖通/供冷系统,机电,活力中心和后勤区热泵改造,节能改造,45,机电
300,瓯园,华东,温州,独立,三级,其他改造,社区分包,否,其它系统,机电,屋顶LOGO,宣传需要改造,7,机电
301,瓯园,华东,温州,独立,三级,其他改造,,否,其它系统,土建,临时非机动车库,创收需要改造,11,土建
302,瓯园,华东,温州,独立,三级,其他改造,社区分包,否,其它系统,土建,北侧户外电动轮椅和工具车充电场所,消防安全需要改造,5,土建
303,瓯园,华东,温州,独立,三级,其他改造,社区分包,否,其它系统,土建,烘洗场地改造（需要移位和增加设备）,日常运营需要改造,8,土建
304,福园,华南,福州,独立,三级,安全,社区分包,否,电梯系统,电梯,电梯加装梯控,电梯加装梯控,12,电梯
305,福园,华南,福州,独立,三级,品质提升,社区分包,否,其它系统,精装,标识改造,30周年美好家园标识标牌品质提升，初步预计为8万元，含园区整体标识标牌翻新增加新元素,10,精装
306,福园,华南,福州,独立,三级,品质提升,不动产项目部,否,其它系统,土建,围栏改造,园区周边靠近山体，靠近湖区域增加不锈钢细围栏，防止小动物随意进入园区,30,土建
307,福园,华南,福州,独立,三级,品质提升,不动产项目部,是,保安/监控系统,弱电,摄像头,园区内部增加高空抛物摄像头，预计增加26处摄像头，两台硬盘录像机,19,弱电
308,福园,华南,福州,独立,三级,品质提升,不动产项目部,否,其它系统,精装,栏杆改造,医院2楼与护理2楼连接平台调整为晾晒区，晾晒区周边做栏杆，初步估计150米，高1.4米,10,精装
309,福园,华南,福州,独立,三级,品质提升,不动产项目部,否,其它系统,土建,风雨连廊改造,1号楼端头增加风雨连廊联通至餐厅旁大门,12,土建
310,福园,华南,福州,独立,三级,品质提升,不动产项目部,否,其它系统,土建,雨棚改造,医院停车场雨棚,15,土建
311,福园,华南,福州,独立,三级,品质提升,社区分包,否,家电,固定物资采买,四季花厅音响,四季花厅增加音响,10,固定物资采买
312,福园,华南,福州,独立,三级,品质提升,不动产项目部,否,其它系统,土建,为非间和档案室改造,医院地下室男女更衣室改为危废间、档案室（院方方案需要确定）,10,土建
313,福园,华南,福州,独立,三级,品质提升,不动产项目部,否,电梯系统,电梯,电梯改造,8号楼电梯西侧加一个楼梯/或者调增一台电梯,35,电梯
314,福园,华南,福州,独立,一级（最高级）,安全,不动产项目部,是,其它系统,弱电,居民防走失人脸识别系统改造,安全系统改造,15,弱电
315,福园,华南,福州,独立,一级（最高级）,安全,不动产项目部,是,其它系统,弱电,厨房动火离人报警系统改在,消防系统改造,10,弱电
316,儒园,华北,济南,独立,三级,其他改造,不动产项目部,否,暖通/供冷系统,机电,空调及管道计量,"1.宴会厅、多功能教室增加VRV空调,满足过渡季节开启需求。提是升品质、节约大系统开启时能耗。2.泳池、健身房的地暖系统增加热计量表。目前存在重复计费情况,节约能耗，预计改造费用20万，",20,机电
317,儒园,华北,济南,独立,三级,其他改造,不动产项目部,否,暖通/供冷系统,机电,泳池加药及水泵房传送带,"1.泳池加药系统管道细经常堵塞,需将目前软管材质更改为硬质塑料管道并增大管径。目前需人工爬到水池顶加药,安全风险检极大2.生活水泵房增加传送带或者将目前台阶改成坡道形式。目前加盐人工搬运,在台阶处耗时耗力且有安全风险。3.污水提升泵房、隔油间、空调机房增加排水沟引至集水坑,防止机房内设备维护冲洗时水流满地,脏污明显且有安全风险。 预计改造费用20万，",20,机电
318,儒园,华北,济南,独立,三级,品质提升,不动产项目部,否,其它系统,弱电,智慧餐厅,餐厅自助称重改造,21,弱电
319,儒园,华北,济南,独立,三级,品质提升,不动产项目部,否,其它系统,弱电,智慧餐厅,餐厅小碗菜改造,13,弱电
320,儒园,华北,济南,独立,三级,其他改造,不动产项目部,否,其它系统,土建,体验馆展陈,体验馆墙面展陈展示换新\银发生活馆增加\泰享购专区展示增加,30,土建
321,儒园,华北,济南,独立,一级（最高级）,安全,不动产项目部,否,弱电系统,弱电,报警系统,社区出入口增加一套人脸识别摄像头系统，厨房增加动火离人报警系统,15,弱电
322,儒园,华北,济南,独立,一级（最高级）,安全,不动产项目部,是,其它系统,弱电,居民防走失人脸识别系统改造,安全系统改造,15,弱电
323,儒园,华北,济南,独立,一级（最高级）,其他改造,不动产项目部,是,其它系统,弱电,厨房节能炉灶改造,节能改造,10,弱电
324,津园,华北,天津,独立,二级,金额10万以上的常规维修,不动产项目部,否,其它系统,精装,风雨连廊的防风卷帘增加,,150,精装
325,津园,华北,天津,独立,二级,金额10万以上的常规维修,不动产项目部,否,其它系统,机电,游泳池淋浴区热水路由改造,,30,机电
326,津园,华北,天津,独立,二级,金额10万以上的房态更新,社区分包,否,其它系统,土建,会所一层南侧，津门俱乐部升级,,50,土建
327,津园,华北,天津,独立,二级,金额10万以上的房态更新,不动产项目部,否,其它系统,精装,5号楼街道相关公建的装修改造（1500平米）,,250,精装
328,津园,华北,天津,独立,二级,金额10万以上的房态更新,社区分包,否,其它系统,土建,地下办公区改造,,30,土建
329,津园,华北,天津,独立,一级（最高级）,其他改造,不动产项目部,否,土建设施,土建,5号楼首二层及屋面花园改造（派出所部分）,收回派出所共建,500,土建
330,津园,华北,天津,独立,一级（最高级）,其他改造,不动产项目部,否,其他系统,弱电,LED屏及LCD显示屏拆除、重新供应及安装,TED厅、津门厅LED拆除、重新安装,12,弱电
331,津园,华北,天津,独立,三级,品质提升,不动产项目部,否,土建系统,土建,会所屋顶花园改造,会所屋顶花园改造,150,土建
332,津园,华北,天津,独立,,安全,不动产项目部,否,,,1号出入口增加面板机管理居民外出,1号出入口增加面板机管理居民外出,5,
333,津园,华北,天津,独立,一级（最高级）,节能改造,社区分包,是,,,泳池热源改造,泳池热源改空气源热泵,30,
334,津园,华北,天津,独立,一级（最高级）,安全,不动产项目部,是,其它系统,弱电,居民防走失人脸识别系统改造,安全系统改造,15,弱电
335,津园,华北,天津,独立,一级（最高级）,安全,社区分包,是,其它系统,弱电,厨房动火离人报警系统改造,消防系统改造,10,弱电
336,滇园,西南,昆明,护理,一级（最高级）,品质提升,不动产项目部,否,其它系统,土建,记忆照护专区升级改造,记忆照护专区升级改造,19,土建
337,滇园,西南,昆明,护理,一级（最高级）,节能改造,不动产项目部,否,其它系统,土建,记忆照护节能改造,记忆照护节能改造,10,土建
338,滇园,西南,昆明,独立,一级（最高级）,安全,不动产项目部,是,其它系统,弱电,居民防走失人脸识别系统改造,安全系统改造,15,弱电
339,滇园,西南,昆明,独立,一级（最高级）,安全,不动产项目部,是,其它系统,弱电,厨房动火离人报警系统改在,消防系统改造,10,弱电
